{'arch': 'resnet18', 'checkpoint': './save/model_39.th', 'widen_factor': 1, 'batch_size': 128, 'lr': 0.2, 'nb_iter': 2000, 'print_every': 500, 'data_dir': '../data', 'val_frac': 0.01, 'output_dir': './save', 'trigger_info': './save/trigger_info.th', 'poison_type': 'benign', 'poison_target': 0, 'trigger_alpha': 1.0, 'anp_eps': 0.4, 'anp_steps': 1, 'anp_alpha': 0.2, 'dataset': 'cifar10', 'optimization_method': 'FO', 'zo_method': 'RGE', 'q': 192, 'mu': 0.005, 'model_type': 'AE_DS', 'encoder_arch': 'cifar_encoder_192_24_noise', 'decoder_arch': 'cifar_decoder_192_24_noise', 'classifier': '', 'pretrained_denoiser': '', 'pretrained_encoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_encoder.pth.tar', 'pretrained_decoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_decoder.pth.tar'}
Files already downloaded and verified
Files already downloaded and verified
Iter 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
102500 	 0.200 	 325.4 	 0.5131 	 0.8404 	 0.0000 	 1.0000 	 0.4621 	 0.8528
103000 	 0.200 	 325.4 	 0.5152 	 0.8400 	 0.0000 	 1.0000 	 0.4468 	 0.8571
103500 	 0.200 	 325.4 	 0.5096 	 0.8411 	 0.0000 	 1.0000 	 0.4378 	 0.8583
104000 	 0.200 	 325.4 	 0.5156 	 0.8417 	 0.0000 	 1.0000 	 0.4605 	 0.8525
104500 	 0.200 	 325.4 	 0.5018 	 0.8433 	 0.0000 	 1.0000 	 0.4471 	 0.8564
105000 	 0.200 	 325.4 	 0.5077 	 0.8430 	 0.0000 	 1.0000 	 0.4500 	 0.8546
105500 	 0.200 	 325.5 	 0.5069 	 0.8440 	 0.0000 	 1.0000 	 0.4551 	 0.8541
106000 	 0.200 	 325.4 	 0.5054 	 0.8431 	 0.0000 	 1.0000 	 0.4574 	 0.8513
106500 	 0.200 	 325.5 	 0.5139 	 0.8403 	 0.0000 	 1.0000 	 0.4559 	 0.8541
107000 	 0.200 	 325.5 	 0.5049 	 0.8424 	 0.0000 	 1.0000 	 0.4542 	 0.8558
107500 	 0.200 	 325.5 	 0.5149 	 0.8395 	 0.0000 	 1.0000 	 0.4491 	 0.8561
108000 	 0.200 	 325.4 	 0.5080 	 0.8427 	 0.0000 	 1.0000 	 0.4588 	 0.8526
108500 	 0.200 	 325.6 	 0.5110 	 0.8422 	 0.0000 	 1.0000 	 0.4481 	 0.8551
109000 	 0.200 	 325.5 	 0.5199 	 0.8391 	 0.0000 	 1.0000 	 0.4404 	 0.8586
109500 	 0.200 	 325.5 	 0.5126 	 0.8412 	 0.0000 	 1.0000 	 0.4502 	 0.8551
110000 	 0.200 	 325.5 	 0.5057 	 0.8434 	 0.0000 	 1.0000 	 0.4588 	 0.8537
110500 	 0.200 	 325.4 	 0.5093 	 0.8424 	 0.0000 	 1.0000 	 0.4423 	 0.8568
111000 	 0.200 	 325.4 	 0.5132 	 0.8403 	 0.0000 	 1.0000 	 0.4683 	 0.8526
111500 	 0.200 	 325.6 	 0.5145 	 0.8404 	 0.0000 	 1.0000 	 0.4524 	 0.8544
112000 	 0.200 	 325.6 	 0.5113 	 0.8414 	 0.0000 	 1.0000 	 0.4541 	 0.8533
112500 	 0.200 	 325.5 	 0.5062 	 0.8426 	 0.0000 	 1.0000 	 0.4407 	 0.8578
113000 	 0.200 	 325.6 	 0.5113 	 0.8418 	 0.0000 	 1.0000 	 0.4554 	 0.8551
113500 	 0.200 	 325.6 	 0.5195 	 0.8402 	 0.0000 	 1.0000 	 0.4580 	 0.8546
114000 	 0.200 	 325.6 	 0.5147 	 0.8408 	 0.0000 	 1.0000 	 0.4457 	 0.8544
114500 	 0.200 	 325.5 	 0.5129 	 0.8405 	 0.0000 	 1.0000 	 0.4479 	 0.8561
115000 	 0.200 	 325.5 	 0.5124 	 0.8395 	 0.0000 	 1.0000 	 0.4502 	 0.8558
115500 	 0.200 	 325.5 	 0.5046 	 0.8433 	 0.0000 	 1.0000 	 0.4495 	 0.8548
116000 	 0.200 	 325.6 	 0.5080 	 0.8428 	 0.0000 	 1.0000 	 0.4454 	 0.8562
116500 	 0.200 	 325.6 	 0.5201 	 0.8383 	 0.0000 	 1.0000 	 0.4570 	 0.8544
117000 	 0.200 	 325.5 	 0.5088 	 0.8432 	 0.0000 	 1.0000 	 0.4431 	 0.8583
117500 	 0.200 	 325.6 	 0.5093 	 0.8412 	 0.0000 	 1.0000 	 0.4460 	 0.8572
118000 	 0.200 	 325.6 	 0.5121 	 0.8427 	 0.0000 	 1.0000 	 0.4613 	 0.8525
118500 	 0.200 	 325.5 	 0.5144 	 0.8408 	 0.0000 	 1.0000 	 0.4576 	 0.8539
119000 	 0.200 	 325.6 	 0.5059 	 0.8435 	 0.0000 	 1.0000 	 0.4533 	 0.8552
119500 	 0.200 	 325.6 	 0.5040 	 0.8430 	 0.0000 	 1.0000 	 0.4542 	 0.8534
120000 	 0.200 	 325.6 	 0.5133 	 0.8411 	 0.0000 	 1.0000 	 0.4628 	 0.8522
120500 	 0.200 	 325.6 	 0.5142 	 0.8407 	 0.0000 	 1.0000 	 0.4492 	 0.8557
121000 	 0.200 	 325.6 	 0.5082 	 0.8414 	 0.0000 	 1.0000 	 0.4433 	 0.8576
121500 	 0.200 	 325.6 	 0.5083 	 0.8426 	 0.0000 	 1.0000 	 0.4576 	 0.8542
122000 	 0.200 	 325.6 	 0.5093 	 0.8426 	 0.0000 	 1.0000 	 0.4447 	 0.8567
122500 	 0.200 	 325.6 	 0.5067 	 0.8430 	 0.0000 	 1.0000 	 0.4532 	 0.8564
123000 	 0.200 	 325.6 	 0.5056 	 0.8427 	 0.0000 	 1.0000 	 0.4300 	 0.8602
123500 	 0.200 	 325.5 	 0.5040 	 0.8436 	 0.0000 	 1.0000 	 0.4613 	 0.8532
124000 	 0.200 	 325.6 	 0.5150 	 0.8406 	 0.0000 	 1.0000 	 0.4544 	 0.8543
124500 	 0.200 	 325.6 	 0.5126 	 0.8413 	 0.0000 	 1.0000 	 0.4418 	 0.8575
125000 	 0.200 	 325.6 	 0.5079 	 0.8412 	 0.0000 	 1.0000 	 0.4598 	 0.8531
125500 	 0.200 	 325.6 	 0.5154 	 0.8403 	 0.0000 	 1.0000 	 0.4522 	 0.8534
126000 	 0.200 	 325.7 	 0.5156 	 0.8413 	 0.0000 	 1.0000 	 0.4531 	 0.8555
126500 	 0.200 	 325.6 	 0.5107 	 0.8419 	 0.0000 	 1.0000 	 0.4596 	 0.8540
127000 	 0.200 	 325.7 	 0.5168 	 0.8393 	 0.0000 	 1.0000 	 0.4416 	 0.8578
127500 	 0.200 	 325.7 	 0.5150 	 0.8413 	 0.0000 	 1.0000 	 0.4474 	 0.8545
128000 	 0.200 	 325.7 	 0.5076 	 0.8421 	 0.0000 	 1.0000 	 0.4365 	 0.8587
128500 	 0.200 	 325.6 	 0.4989 	 0.8448 	 0.0000 	 1.0000 	 0.4492 	 0.8556
129000 	 0.200 	 325.7 	 0.5102 	 0.8414 	 0.0000 	 1.0000 	 0.4644 	 0.8523
129500 	 0.200 	 325.7 	 0.5098 	 0.8410 	 0.0000 	 1.0000 	 0.4574 	 0.8530
130000 	 0.200 	 325.7 	 0.5023 	 0.8427 	 0.0000 	 1.0000 	 0.4473 	 0.8556
130500 	 0.200 	 325.6 	 0.5075 	 0.8426 	 0.0000 	 1.0000 	 0.4363 	 0.8587
131000 	 0.200 	 325.7 	 0.5030 	 0.8448 	 0.0000 	 1.0000 	 0.4562 	 0.8534
131500 	 0.200 	 325.7 	 0.5065 	 0.8426 	 0.0000 	 1.0000 	 0.4446 	 0.8561
132000 	 0.200 	 325.6 	 0.5145 	 0.8409 	 0.0000 	 1.0000 	 0.4595 	 0.8529
132500 	 0.200 	 325.6 	 0.5080 	 0.8423 	 0.0000 	 1.0000 	 0.4607 	 0.8539
133000 	 0.200 	 325.6 	 0.5099 	 0.8410 	 0.0000 	 1.0000 	 0.4440 	 0.8566
133500 	 0.200 	 325.6 	 0.5086 	 0.8416 	 0.0000 	 1.0000 	 0.4560 	 0.8533
134000 	 0.200 	 325.7 	 0.5031 	 0.8450 	 0.0000 	 1.0000 	 0.4368 	 0.8576
134500 	 0.200 	 325.6 	 0.5058 	 0.8432 	 0.0000 	 1.0000 	 0.4572 	 0.8548
135000 	 0.200 	 325.7 	 0.5161 	 0.8406 	 0.0000 	 1.0000 	 0.4478 	 0.8542
135500 	 0.200 	 325.6 	 0.5026 	 0.8446 	 0.0000 	 1.0000 	 0.4468 	 0.8555
136000 	 0.200 	 325.7 	 0.5132 	 0.8405 	 0.0000 	 1.0000 	 0.4436 	 0.8567
136500 	 0.200 	 325.6 	 0.5133 	 0.8425 	 0.0000 	 1.0000 	 0.4551 	 0.8549
137000 	 0.200 	 325.6 	 0.5104 	 0.8410 	 0.0000 	 1.0000 	 0.4398 	 0.8576
137500 	 0.200 	 325.7 	 0.5087 	 0.8423 	 0.0000 	 1.0000 	 0.4804 	 0.8489
138000 	 0.200 	 325.7 	 0.5162 	 0.8396 	 0.0000 	 1.0000 	 0.4622 	 0.8528
138500 	 0.200 	 325.6 	 0.5154 	 0.8394 	 0.0000 	 1.0000 	 0.4508 	 0.8544
139000 	 0.200 	 325.6 	 0.5054 	 0.8429 	 0.0000 	 1.0000 	 0.4513 	 0.8550
139500 	 0.200 	 325.6 	 0.5070 	 0.8441 	 0.0000 	 1.0000 	 0.4684 	 0.8504
140000 	 0.200 	 325.6 	 0.5078 	 0.8423 	 0.0000 	 1.0000 	 0.4471 	 0.8553
140500 	 0.200 	 325.7 	 0.5023 	 0.8435 	 0.0000 	 1.0000 	 0.4490 	 0.8567
141000 	 0.200 	 325.6 	 0.5121 	 0.8410 	 0.0000 	 1.0000 	 0.4562 	 0.8526
141500 	 0.200 	 325.6 	 0.5066 	 0.8428 	 0.0000 	 1.0000 	 0.4498 	 0.8530
142000 	 0.200 	 325.6 	 0.5127 	 0.8424 	 0.0000 	 1.0000 	 0.4492 	 0.8553
142500 	 0.200 	 325.6 	 0.5109 	 0.8407 	 0.0000 	 1.0000 	 0.4620 	 0.8520
143000 	 0.200 	 325.7 	 0.5138 	 0.8417 	 0.0000 	 1.0000 	 0.4518 	 0.8555
143500 	 0.200 	 325.6 	 0.5124 	 0.8412 	 0.0000 	 1.0000 	 0.4455 	 0.8562
144000 	 0.200 	 325.6 	 0.5122 	 0.8400 	 0.0000 	 1.0000 	 0.4494 	 0.8542
144500 	 0.200 	 325.7 	 0.5094 	 0.8412 	 0.0000 	 1.0000 	 0.4385 	 0.8589
145000 	 0.200 	 325.6 	 0.5034 	 0.8445 	 0.0000 	 1.0000 	 0.4514 	 0.8544
145500 	 0.200 	 325.7 	 0.5090 	 0.8417 	 0.0000 	 1.0000 	 0.4638 	 0.8526
146000 	 0.200 	 325.7 	 0.5041 	 0.8445 	 0.0000 	 1.0000 	 0.4445 	 0.8565
146500 	 0.200 	 325.6 	 0.5079 	 0.8418 	 0.0000 	 1.0000 	 0.4422 	 0.8578
147000 	 0.200 	 325.6 	 0.5177 	 0.8398 	 0.0000 	 1.0000 	 0.4468 	 0.8537
147500 	 0.200 	 325.6 	 0.5080 	 0.8421 	 0.0000 	 1.0000 	 0.4443 	 0.8560
148000 	 0.200 	 325.6 	 0.5055 	 0.8440 	 0.0000 	 1.0000 	 0.4419 	 0.8574
148500 	 0.200 	 325.5 	 0.5143 	 0.8403 	 0.0000 	 1.0000 	 0.4556 	 0.8542
149000 	 0.200 	 325.5 	 0.5098 	 0.8407 	 0.0000 	 1.0000 	 0.4620 	 0.8528
149500 	 0.200 	 325.6 	 0.5071 	 0.8423 	 0.0000 	 1.0000 	 0.4613 	 0.8517
150000 	 0.200 	 325.6 	 0.5169 	 0.8411 	 0.0000 	 1.0000 	 0.4452 	 0.8558
150500 	 0.200 	 325.6 	 0.5084 	 0.8412 	 0.0000 	 1.0000 	 0.4484 	 0.8562
151000 	 0.200 	 325.6 	 0.5104 	 0.8424 	 0.0000 	 1.0000 	 0.4420 	 0.8567
151500 	 0.200 	 325.6 	 0.5114 	 0.8417 	 0.0000 	 1.0000 	 0.4585 	 0.8518
152000 	 0.200 	 325.6 	 0.5132 	 0.8408 	 0.0000 	 1.0000 	 0.4477 	 0.8555
152500 	 0.200 	 325.6 	 0.5109 	 0.8431 	 0.0000 	 1.0000 	 0.4587 	 0.8522
153000 	 0.200 	 325.6 	 0.5177 	 0.8387 	 0.0000 	 1.0000 	 0.4424 	 0.8574
153500 	 0.200 	 325.6 	 0.5021 	 0.8453 	 0.0000 	 1.0000 	 0.4499 	 0.8554
154000 	 0.200 	 325.6 	 0.5138 	 0.8417 	 0.0000 	 1.0000 	 0.4526 	 0.8559
