{'arch': 'resnet18', 'checkpoint': './save/model_39.th', 'widen_factor': 1, 'batch_size': 128, 'lr': 0.2, 'nb_iter': 2000, 'print_every': 500, 'data_dir': '../data', 'val_frac': 0.01, 'output_dir': './save', 'trigger_info': './save/trigger_info.th', 'poison_type': 'benign', 'poison_target': 0, 'trigger_alpha': 1.0, 'anp_eps': 0.4, 'anp_steps': 1, 'anp_alpha': 0.2, 'dataset': 'cifar10', 'optimization_method': 'FO', 'zo_method': 'RGE', 'q': 192, 'mu': 0.005, 'model_type': 'AE_DS', 'encoder_arch': 'cifar_encoder_192_24_noise', 'decoder_arch': 'cifar_decoder_192_24_noise', 'classifier': '', 'pretrained_denoiser': '', 'pretrained_encoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_encoder.pth.tar', 'pretrained_decoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_decoder.pth.tar'}
Files already downloaded and verified
Files already downloaded and verified
Iter 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
23500 	 0.200 	 325.7 	 0.5095 	 0.8427 	 0.0000 	 1.0000 	 0.4646 	 0.8555
24000 	 0.200 	 325.7 	 0.5075 	 0.8426 	 0.0000 	 1.0000 	 0.4487 	 0.8543
24500 	 0.200 	 325.7 	 0.5152 	 0.8411 	 0.0000 	 1.0000 	 0.4500 	 0.8557
25000 	 0.200 	 325.7 	 0.5109 	 0.8415 	 0.0000 	 1.0000 	 0.4543 	 0.8530
25500 	 0.200 	 325.7 	 0.5121 	 0.8400 	 0.0000 	 1.0000 	 0.4524 	 0.8545
26000 	 0.200 	 325.7 	 0.5097 	 0.8423 	 0.0000 	 1.0000 	 0.4540 	 0.8562
26500 	 0.200 	 325.7 	 0.5023 	 0.8439 	 0.0000 	 1.0000 	 0.4508 	 0.8536
27000 	 0.200 	 325.8 	 0.5187 	 0.8391 	 0.0000 	 1.0000 	 0.4564 	 0.8525
27500 	 0.200 	 325.7 	 0.5153 	 0.8409 	 0.0000 	 1.0000 	 0.4654 	 0.8516
28000 	 0.200 	 325.6 	 0.5122 	 0.8415 	 0.0000 	 1.0000 	 0.4410 	 0.8570
28500 	 0.200 	 325.6 	 0.5100 	 0.8423 	 0.0000 	 1.0000 	 0.4494 	 0.8555
29000 	 0.200 	 325.7 	 0.5141 	 0.8411 	 0.0000 	 1.0000 	 0.4560 	 0.8531
29500 	 0.200 	 325.6 	 0.5131 	 0.8402 	 0.0000 	 1.0000 	 0.4550 	 0.8532
30000 	 0.200 	 325.6 	 0.5073 	 0.8427 	 0.0000 	 1.0000 	 0.4510 	 0.8551
30500 	 0.200 	 325.7 	 0.5151 	 0.8400 	 0.0000 	 1.0000 	 0.4504 	 0.8548
31000 	 0.200 	 325.6 	 0.5147 	 0.8394 	 0.0000 	 1.0000 	 0.4572 	 0.8545
31500 	 0.200 	 325.6 	 0.5171 	 0.8393 	 0.0000 	 1.0000 	 0.4593 	 0.8526
32000 	 0.200 	 325.6 	 0.5098 	 0.8424 	 0.0000 	 1.0000 	 0.4540 	 0.8544
32500 	 0.200 	 325.6 	 0.5088 	 0.8432 	 0.0000 	 1.0000 	 0.4375 	 0.8585
33000 	 0.200 	 325.6 	 0.5130 	 0.8416 	 0.0000 	 1.0000 	 0.4509 	 0.8544
33500 	 0.200 	 325.6 	 0.5057 	 0.8427 	 0.0000 	 1.0000 	 0.4508 	 0.8541
34000 	 0.200 	 325.6 	 0.5077 	 0.8427 	 0.0000 	 1.0000 	 0.4395 	 0.8570
34500 	 0.200 	 325.6 	 0.5131 	 0.8415 	 0.0000 	 1.0000 	 0.4628 	 0.8518
35000 	 0.200 	 325.6 	 0.5155 	 0.8393 	 0.0000 	 1.0000 	 0.4470 	 0.8559
35500 	 0.200 	 325.7 	 0.5141 	 0.8410 	 0.0000 	 1.0000 	 0.4628 	 0.8519
36000 	 0.200 	 325.6 	 0.5125 	 0.8411 	 0.0000 	 1.0000 	 0.4488 	 0.8539
36500 	 0.200 	 325.6 	 0.5096 	 0.8404 	 0.0000 	 1.0000 	 0.4480 	 0.8562
37000 	 0.200 	 325.6 	 0.5131 	 0.8393 	 0.0000 	 1.0000 	 0.4491 	 0.8553
37500 	 0.200 	 325.7 	 0.5164 	 0.8398 	 0.0000 	 1.0000 	 0.4464 	 0.8550
38000 	 0.200 	 325.7 	 0.5046 	 0.8432 	 0.0000 	 1.0000 	 0.4399 	 0.8581
38500 	 0.200 	 325.6 	 0.5072 	 0.8438 	 0.0000 	 1.0000 	 0.4520 	 0.8551
39000 	 0.200 	 325.7 	 0.5140 	 0.8407 	 0.0000 	 1.0000 	 0.4422 	 0.8561
39500 	 0.200 	 325.7 	 0.5096 	 0.8405 	 0.0000 	 1.0000 	 0.4587 	 0.8543
40000 	 0.200 	 325.6 	 0.5202 	 0.8390 	 0.0000 	 1.0000 	 0.4688 	 0.8516
40500 	 0.200 	 325.7 	 0.5070 	 0.8433 	 0.0000 	 1.0000 	 0.4532 	 0.8557
41000 	 0.200 	 325.6 	 0.5054 	 0.8422 	 0.0000 	 1.0000 	 0.4551 	 0.8540
41500 	 0.200 	 325.7 	 0.5045 	 0.8447 	 0.0000 	 1.0000 	 0.4473 	 0.8569
42000 	 0.200 	 325.7 	 0.5114 	 0.8407 	 0.0000 	 1.0000 	 0.4466 	 0.8572
42500 	 0.200 	 325.8 	 0.5185 	 0.8390 	 0.0000 	 1.0000 	 0.4508 	 0.8543
43000 	 0.200 	 325.7 	 0.5101 	 0.8410 	 0.0000 	 1.0000 	 0.4546 	 0.8543
43500 	 0.200 	 325.6 	 0.5156 	 0.8398 	 0.0000 	 1.0000 	 0.4552 	 0.8559
44000 	 0.200 	 325.6 	 0.5148 	 0.8395 	 0.0000 	 1.0000 	 0.4530 	 0.8546
44500 	 0.200 	 325.6 	 0.5176 	 0.8391 	 0.0000 	 1.0000 	 0.4403 	 0.8573
45000 	 0.200 	 325.7 	 0.5144 	 0.8402 	 0.0000 	 1.0000 	 0.4571 	 0.8560
45500 	 0.200 	 325.6 	 0.5021 	 0.8448 	 0.0000 	 1.0000 	 0.4578 	 0.8522
46000 	 0.200 	 325.6 	 0.5042 	 0.8425 	 0.0000 	 1.0000 	 0.4576 	 0.8532
46500 	 0.200 	 325.6 	 0.5119 	 0.8412 	 0.0000 	 1.0000 	 0.4560 	 0.8559
